seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time,
1,False,100,False,True,True,tsit5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.67296,0.342961922208936,0.100896242470098,10.055117,14.454574,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,28.9282307624817,23.8276219367981,0.956611394882202,2.27609539031982,bosh5 avg
2,False,100,False,True,True,tsit5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.79874,0.343908426945071,0.101302174863114,10.367449,12.332285,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,29.2632536888123,24.2815749645233,0.903869390487671,2.1530966758728,28.2494672934214
3,False,100,False,True,True,tsit5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,86.54088,0.345069655587375,0.102446383127778,9.169364,14.970666,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,30.6774272918701,25.5937831401825,0.839829921722412,1.99055027961731,
0,False,100,False,True,True,bosh3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,88.05031,0.348368618813814,0.102249427163976,10.968383,15.715801,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,34.6558644771576,29.4497916698456,0.943679809570313,2.0293927192688,
1,False,100,False,True,True,bosh3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.918236,0.344227889408067,0.102005512237429,9.088276,15.133392,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,33.1942734718323,27.9300720691681,0.880915641784668,1.97315955162048,
2,False,100,False,True,True,bosh3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.79874,0.342125274661961,0.100994061203345,10.025689,12.665117,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,33.1883502006531,27.7507698535919,0.863242149353027,1.98500514030457,
3,False,100,False,True,True,bosh3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.42138,0.343991434855513,0.101900846905929,9.961073,15.3153305,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,34.6417758464813,29.0675599575043,0.777962446212769,1.97069549560547,
0,False,100,False,False,True,dopri5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.79245,0.293987037039874,0.0924108774506169,2.106752,8.077004,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,289.051032781601,276.829922676086,1.72968053817749,3.41627073287964,"Pcoeff=0.3, icoeff=0.3, dcoeff=0.0"
1,False,100,False,False,True,dopri5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.54088,0.291273257255588,0.0898899985505849,3.3565218,8.14875,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,330.804793119431,326.951787233353,0.925467014312744,1.92830061912537,dopri5 avg
2,False,100,False,False,True,dopri5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.04402,0.291844271939191,0.0909568457196262,2.794308,10.99897,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,279.197014808655,275.176165580749,0.946934461593628,1.90772843360901,407.720540314913
3,False,100,False,False,True,dopri5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.42138,0.28845588608257,0.090286829166211,2.8630517,10.160786,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,332.883410215378,328.652072906494,0.877737522125244,1.98843550682068,tsit5 avg
0,False,100,False,False,True,tsit5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.918236,0.34709644073859,0.0989418461363564,6.308642,22.634077,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,473.355130910873,468.994145154953,0.890705585479736,1.91322374343872,536.479804888368
1,False,100,False,False,True,tsit5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.16352,0.313696460026598,0.0947970202481821,4.558149,16.271418,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,580.002662420273,575.421604633331,0.91141152381897,1.9337043762207,bosh5 avg
2,False,100,False,False,True,tsit5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.666664,0.333702909522399,0.0988880727227052,5.155958,15.058356,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,493.035452842712,488.20118188858,0.94223427772522,1.98413062095642,520.716754500071
3,False,100,False,False,True,tsit5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,86.918236,0.329913578572421,0.0961326794296039,3.8258326,14.332074,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,577.725741863251,572.817994832993,0.87193775177002,1.94476079940796,
0,False,100,False,False,True,bosh3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,86.54088,0.354382389069338,0.0992990524808743,5.757905,17.79425,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,432.405537605286,427.288079500198,0.868115901947022,1.99739623069763,
1,False,100,False,False,True,bosh3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.79245,0.336947652155557,0.0962495239949234,5.0479674,12.584496,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,562.244345426559,556.983165502548,0.785866975784302,1.99777245521545,
2,False,100,False,False,True,bosh3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,86.918236,0.359041267815057,0.10006569412859,5.8640027,17.004608,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,512.739028215408,507.253213644028,0.922816753387451,1.95438146591187,
3,False,100,False,False,True,bosh3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.16981,0.326340788165707,0.0950781343553688,4.3748913,14.0563545,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,542.174783468246,536.479140520096,0.963154077529907,1.96434807777405,
0,False,100,False,False,True,dopri5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.04402,0.284214585130765,0.0878621804932588,3.350903,10.399782,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,363.166493654251,351.222193241119,1.49432826042175,3.36522126197815,"Pcoeff=0.0, icoeff=1.0, dcoeff=0.0"
1,False,100,False,False,True,dopri5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.67296,0.304287857251749,0.0905839082357046,5.6785545,9.02161,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,490.937853813171,487.281257867813,0.782005310058594,1.91082763671875,dopri5 avg
2,False,100,False,False,True,dopri5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.04402,0.291503792568998,0.0893545212013951,3.4701922,7.7132435,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,385.850082397461,381.982187986374,0.841144800186157,1.8889651298523,426.979539513588
